Date,Campaign,Channel,Impressions,Clicks,Spend,Conversions,Revenue,ROI
2023-11-17,Spring Launch,Email,48830,3343,12034.7,257,19352.48,0.608
2023-12-08,Holiday Extravaganza,Display,89037,2899,6256.24,324,53807.59,7.601
2023-12-20,Spring Launch,Search Ads,37090,1599,1998.46,180,16510.31,7.262
2023-09-13,Holiday Extravaganza,Display,86588,1760,5748.82,68,6880.9,0.197
2023-04-07,Summer Promo,Email,148899,10476,23032.62,1189,140149.72,5.085
2023-01-14,Summer Promo,Search Ads,117808,7556,3893.81,408,66767.11,16.147
2023-03-07,Summer Promo,Email,12999,636,1808.3,26,1028.43,-0.431
2023-02-19,Summer Promo,Influencer,121527,8994,22656.81,898,85303.0,2.765
2023-03-30,Holiday Extravaganza,Display,104795,1477,3890.56,82,3859.65,-0.008
2023-07-21,Holiday Extravaganza,Influencer,114864,6794,16598.79,469,50934.79,2.069
2023-05-29,Back to School,Influencer,48235,2597,8665.43,207,28084.08,2.241
2023-11-30,Summer Promo,Social Media,31914,1402,606.53,44,6994.31,10.532
2023-12-10,Black Friday,Email,23831,605,2151.45,22,2834.1,0.317
2023-09-05,Summer Promo,Search Ads,149308,9731,35405.25,819,142670.71,3.03
2023-09-05,Summer Promo,Influencer,30174,753,2479.83,59,4113.07,0.659
2023-07-08,Black Friday,Email,132760,2581,8075.42,119,18871.2,1.337
2023-06-01,Back to School,Search Ads,83694,1587,862.52,134,17527.4,19.321
2023-10-07,Black Friday,Search Ads,19395,1213,4287.29,83,6654.75,0.552
2023-05-03,Black Friday,Search Ads,99661,1220,3921.69,110,19736.75,4.033
2023-08-24,Summer Promo,Search Ads,139396,4040,11736.9,111,14228.42,0.212
2023-02-26,Back to School,Search Ads,34134,1089,458.36,36,1866.78,3.073
2023-07-04,Back to School,Email,49454,3275,5207.2,272,9786.46,0.879
2023-05-21,Back to School,Influencer,147669,2692,5008.65,106,4704.84,-0.061
2023-12-26,Summer Promo,Search Ads,28263,1886,4726.15,87,7527.95,0.593
2023-03-18,Holiday Extravaganza,Email,67100,1421,4775.51,32,5625.14,0.178
2023-12-15,Black Friday,Search Ads,7967,472,629.41,52,2123.59,2.374
2023-11-23,Black Friday,Search Ads,147492,10270,18704.59,276,38031.72,1.033
2023-02-13,Summer Promo,Influencer,88696,3309,8258.5,244,13101.38,0.586
2023-10-22,Summer Promo,Social Media,128934,5417,18726.64,355,55353.41,1.956
2023-06-16,Holiday Extravaganza,Influencer,31329,2202,4128.55,56,7028.48,0.702
2023-02-07,Summer Promo,Email,49052,1443,3693.38,44,2168.97,-0.413
2023-04-06,Back to School,Influencer,19873,746,1117.48,75,3988.98,2.57
2023-06-13,Summer Promo,Display,37657,2155,7400.09,224,35266.57,3.766
2023-12-01,Spring Launch,Social Media,65856,1094,2250.41,86,14546.33,5.464
2023-10-13,Back to School,Social Media,23384,650,1944.48,53,8722.14,3.486
2023-01-17,Summer Promo,Influencer,93560,6861,24969.77,560,27291.3,0.093
2023-02-03,Spring Launch,Influencer,50380,3422,2233.82,325,32421.63,13.514
2023-08-01,Summer Promo,Influencer,91471,2639,3577.86,218,13848.98,2.871
2023-04-10,Back to School,Display,10368,609,828.88,55,7525.97,8.08
2023-08-14,Back to School,Display,44740,839,898.73,83,12981.0,13.444
2023-07-13,Spring Launch,Influencer,140497,3744,9390.94,258,19801.66,1.109
2023-09-05,Spring Launch,Search Ads,139616,9936,19665.77,655,94440.59,3.802
2023-05-04,Spring Launch,Search Ads,16725,1161,2202.54,24,2013.3,-0.086
2023-09-21,Summer Promo,Search Ads,112897,5170,18732.3,227,27576.92,0.472
2023-04-25,Black Friday,Influencer,100913,1217,3067.75,77,4994.94,0.628
2023-06-12,Spring Launch,Social Media,146116,9911,19150.39,305,45219.03,1.361
2023-11-24,Summer Promo,Email,74890,4078,11022.5,419,36463.38,2.308
2023-03-18,Black Friday,Email,137646,3682,4258.64,132,8346.25,0.96
2023-10-04,Holiday Extravaganza,Email,30980,1396,3658.26,148,8213.45,1.245
2023-06-02,Black Friday,Email,43977,1704,2056.2,178,8489.7,3.129
2023-02-13,Summer Promo,Influencer,34476,1611,1605.07,62,10988.16,5.846
2023-02-05,Black Friday,Influencer,47950,2980,4629.74,283,47937.16,9.354
2023-12-22,Holiday Extravaganza,Display,57521,3163,9967.0,122,12008.49,0.205
2023-01-29,Holiday Extravaganza,Influencer,115671,2112,4113.31,96,8075.16,0.963
2023-03-22,Holiday Extravaganza,Social Media,118640,6156,13120.04,611,72387.1,4.517
2023-08-03,Spring Launch,Social Media,144550,2720,5870.08,247,26996.74,3.599
2023-05-31,Spring Launch,Social Media,66175,4900,10624.09,485,38461.07,2.62
2023-07-29,Spring Launch,Social Media,92302,1132,834.13,130,8753.56,9.494
2023-05-27,Black Friday,Influencer,95911,7101,26426.68,547,62212.38,1.354
2023-11-02,Holiday Extravaganza,Email,140680,2897,4743.07,202,30490.99,5.429
2023-08-12,Summer Promo,Display,24743,1239,4265.4,39,4979.71,0.167
2023-05-18,Holiday Extravaganza,Social Media,106419,1583,4750.9,78,2838.05,-0.403
2023-02-06,Summer Promo,Display,27151,1591,4854.88,178,18085.28,2.725
2023-09-09,Summer Promo,Email,122353,2618,2485.77,307,27726.9,10.154
2023-12-08,Black Friday,Display,106758,6498,3522.55,448,77742.46,21.07
2023-01-08,Black Friday,Influencer,93748,4023,14251.83,163,9045.54,-0.365
2023-02-18,Summer Promo,Display,148265,3094,1385.0,305,44662.95,31.248
2023-01-04,Summer Promo,Influencer,26746,607,1409.44,19,3267.11,1.318
2023-08-04,Back to School,Display,138796,8439,31016.08,982,171491.18,4.529
2023-02-08,Spring Launch,Email,29871,1540,1653.28,183,28984.83,16.532
2023-06-05,Holiday Extravaganza,Display,28363,1697,1383.37,151,10983.81,6.94
2023-01-02,Spring Launch,Email,55208,2768,7075.3,206,26757.95,2.782
2023-11-23,Black Friday,Social Media,12619,890,1691.19,88,13738.11,7.123
2023-01-01,Black Friday,Search Ads,50335,834,906.99,52,7049.75,6.773
2023-10-25,Holiday Extravaganza,Search Ads,58969,4244,7460.65,287,27327.3,2.663
2023-01-23,Back to School,Email,127690,2041,3040.28,65,4234.23,0.393
2023-04-28,Summer Promo,Search Ads,25659,1130,694.04,98,9874.78,13.228
2023-01-10,Holiday Extravaganza,Influencer,147812,6395,6937.1,362,25928.98,2.738
2023-01-03,Summer Promo,Social Media,81036,3490,10100.69,100,12209.47,0.209
2023-08-22,Holiday Extravaganza,Display,1196,33,67.04,0,0.0,-1.0
2023-07-21,Spring Launch,Influencer,49346,1752,2028.8,165,18998.93,8.365
2023-01-09,Spring Launch,Social Media,38355,2145,5487.89,75,5293.74,-0.035
2023-03-22,Summer Promo,Search Ads,45270,695,1905.52,24,1927.6,0.012
2023-05-19,Black Friday,Email,42893,2001,4714.42,73,2836.91,-0.398
2023-01-15,Spring Launch,Display,123543,8799,10399.01,1000,89268.64,7.584
2023-08-12,Black Friday,Display,64220,2125,4048.55,109,7333.85,0.811
2023-09-15,Summer Promo,Search Ads,54233,900,2122.48,21,2509.08,0.182
2023-05-28,Spring Launch,Email,146347,3324,6811.2,383,19905.0,1.922
2023-12-11,Back to School,Display,50917,2199,8318.84,174,16265.19,0.955
2023-04-28,Summer Promo,Social Media,36962,865,1277.22,19,1159.0,-0.093
2023-03-31,Holiday Extravaganza,Email,92899,1967,6379.7,166,24258.32,2.802
2023-07-15,Spring Launch,Social Media,89773,1565,1425.78,43,3742.67,1.625
2023-08-22,Holiday Extravaganza,Influencer,55704,4061,8725.13,112,13478.34,0.545
2023-06-04,Spring Launch,Search Ads,92902,3159,11000.84,307,48092.5,3.372
2023-05-02,Black Friday,Social Media,79129,2793,8615.55,332,25648.74,1.977
2023-12-01,Holiday Extravaganza,Influencer,113418,6560,16648.95,577,84120.68,4.053
2023-07-23,Back to School,Search Ads,112664,6298,14028.29,365,16515.32,0.177
2023-12-25,Summer Promo,Display,133908,6976,5387.16,693,55784.23,9.355
2023-01-25,Holiday Extravaganza,Social Media,44271,3307,11816.68,395,42929.4,2.633
2023-03-16,Holiday Extravaganza,Display,113145,6475,11380.97,282,39715.24,2.49
2023-05-22,Back to School,Email,105579,2495,8218.05,177,29144.27,2.546
2023-07-28,Summer Promo,Search Ads,30936,773,303.31,61,9958.36,31.832
2023-07-29,Black Friday,Email,147618,10387,16170.76,542,39923.17,1.469
2023-12-19,Back to School,Search Ads,29565,1817,3268.8,152,23029.55,6.045
2023-01-20,Back to School,Display,62950,1698,1333.61,184,15865.22,10.896
2023-10-21,Spring Launch,Search Ads,72456,5222,6135.17,161,10319.91,0.682
2023-08-25,Black Friday,Email,38873,1564,970.82,138,19049.66,18.622
2023-02-14,Black Friday,Display,88743,1168,2005.25,27,3460.46,0.726
2023-12-03,Black Friday,Search Ads,13347,816,1079.59,90,13699.96,11.69
2023-09-17,Spring Launch,Influencer,63150,2339,3443.98,169,17211.09,3.997
2023-08-05,Black Friday,Email,115233,4884,17306.45,545,24908.65,0.439
2023-10-11,Back to School,Display,53086,663,1627.96,31,5249.74,2.225
2023-04-14,Black Friday,Search Ads,63001,3194,9909.4,285,47515.19,3.795
2023-09-04,Spring Launch,Email,138057,3667,7452.53,292,45342.72,5.084
2023-09-04,Black Friday,Email,87337,3816,8715.23,100,9807.51,0.125
2023-02-28,Summer Promo,Display,88162,4974,2650.53,288,24505.77,8.246
2023-02-24,Spring Launch,Influencer,125943,6851,6357.41,668,29042.83,3.568
2023-08-15,Back to School,Display,79509,1690,2260.62,48,1697.39,-0.249
2023-06-11,Spring Launch,Influencer,24962,1386,3957.0,111,7549.58,0.908
2023-04-10,Spring Launch,Social Media,89139,5883,5493.94,539,69117.44,11.581
2023-02-04,Summer Promo,Search Ads,95065,5680,18472.53,489,60317.29,2.265
2023-09-22,Back to School,Display,62581,1681,5381.85,73,2753.62,-0.488
2023-10-23,Spring Launch,Email,127246,1979,6514.06,176,20737.78,2.184
2023-05-17,Holiday Extravaganza,Influencer,77112,3165,10869.45,265,14592.81,0.343
2023-07-12,Back to School,Display,121247,6630,16272.45,245,43982.86,1.703
2023-01-10,Summer Promo,Influencer,66204,3080,3886.84,365,60719.4,14.622
2023-10-19,Holiday Extravaganza,Search Ads,42690,722,1631.46,72,7950.94,3.874
2023-04-15,Holiday Extravaganza,Influencer,48634,1662,5903.54,49,7430.91,0.259
2023-06-27,Holiday Extravaganza,Influencer,25343,1259,2264.87,97,10162.53,3.487
2023-03-18,Spring Launch,Social Media,8657,364,922.83,31,1649.95,0.788
2023-11-16,Holiday Extravaganza,Display,18987,1123,2397.52,28,2640.54,0.101
2023-12-03,Black Friday,Email,112150,2058,2380.03,190,29025.09,11.195
2023-07-06,Black Friday,Search Ads,12168,840,3094.92,62,4078.27,0.318
2023-03-22,Holiday Extravaganza,Influencer,36344,1513,971.69,163,5798.34,4.967
2023-04-07,Summer Promo,Search Ads,128837,4180,4351.47,421,47194.93,9.846
2023-03-31,Back to School,Influencer,38448,2456,5312.11,84,13115.76,1.469
2023-12-16,Black Friday,Influencer,60521,2813,7446.09,66,6808.28,-0.086
2023-04-18,Spring Launch,Social Media,117117,2726,5159.97,185,7140.75,0.384
2023-01-18,Spring Launch,Search Ads,148005,6620,14623.37,322,13693.79,-0.064
2023-12-04,Black Friday,Search Ads,118061,1731,5134.99,61,4768.49,-0.071
2023-09-14,Holiday Extravaganza,Search Ads,44129,1119,1076.16,59,7921.35,6.361
2023-01-18,Black Friday,Search Ads,56477,3972,2340.79,417,55798.02,22.837
2023-02-24,Spring Launch,Influencer,14281,783,1558.74,26,1121.74,-0.28
2023-03-05,Spring Launch,Influencer,89795,6576,2826.76,500,37933.44,12.419
2023-03-17,Back to School,Influencer,85985,3203,7900.2,332,37237.31,3.713
2023-06-11,Black Friday,Influencer,43170,889,1860.05,100,12358.48,5.644
2023-07-17,Back to School,Display,65463,2538,8704.15,280,40560.06,3.66
2023-04-25,Holiday Extravaganza,Social Media,46707,2647,6827.94,99,11535.52,0.689
2023-04-01,Holiday Extravaganza,Display,82983,5085,3951.58,291,35003.03,7.858
2023-12-17,Back to School,Search Ads,9974,123,239.03,3,306.9,0.284
2023-12-22,Summer Promo,Influencer,47539,1071,518.39,24,2758.38,4.321
2023-10-01,Holiday Extravaganza,Influencer,90076,4369,15865.3,184,10212.0,-0.356
2023-04-10,Back to School,Social Media,24743,1639,1108.12,163,22014.75,18.867
2023-04-19,Summer Promo,Influencer,74574,2547,3324.7,184,23128.64,5.957
2023-02-25,Spring Launch,Display,55331,1577,988.23,107,13406.88,12.567
2023-07-18,Summer Promo,Display,111743,6121,9453.19,707,74520.19,6.883
2023-04-11,Spring Launch,Search Ads,91218,1683,5983.89,184,9998.18,0.671
2023-08-20,Summer Promo,Email,33937,2044,6348.76,95,11332.73,0.785
2023-11-04,Black Friday,Social Media,101672,1268,4795.75,114,11567.24,1.412
2023-11-14,Black Friday,Search Ads,126408,8086,25090.27,220,32980.74,0.314
2023-01-22,Black Friday,Search Ads,130655,8033,17133.13,697,88849.39,4.186
2023-03-23,Back to School,Search Ads,3799,175,239.01,16,1683.75,6.045
2023-09-04,Back to School,Influencer,149905,2170,7591.37,139,22590.2,1.976
2023-04-01,Back to School,Search Ads,83488,4417,8064.3,455,53972.79,5.693
2023-05-11,Spring Launch,Search Ads,93824,4924,14499.11,573,32889.65,1.268
2023-04-18,Back to School,Display,1952,98,163.71,11,1606.13,8.811
2023-03-30,Spring Launch,Search Ads,87276,2543,6599.76,232,30407.77,3.607
2023-01-06,Black Friday,Social Media,16391,910,704.38,26,3657.55,4.193
2023-03-17,Back to School,Search Ads,109755,7872,6880.66,692,40548.96,4.893
2023-08-29,Spring Launch,Display,99857,7326,13383.35,203,23993.43,0.793
2023-12-17,Holiday Extravaganza,Search Ads,5788,246,734.05,22,2932.74,2.995
2023-02-28,Black Friday,Display,20952,904,1809.31,88,7618.41,3.211
2023-07-17,Spring Launch,Influencer,77905,2497,7952.62,157,14760.05,0.856
2023-02-15,Black Friday,Social Media,70743,3575,11519.31,116,9765.2,-0.152
2023-07-13,Black Friday,Search Ads,40791,1507,3068.12,127,15206.79,3.956
2023-07-14,Black Friday,Influencer,143616,2411,896.56,76,3563.83,2.975
2023-09-11,Back to School,Display,63323,4215,11807.53,231,31622.05,1.678
2023-10-16,Back to School,Social Media,86443,5630,12498.71,159,7319.48,-0.414
2023-06-27,Holiday Extravaganza,Search Ads,62976,1576,5416.58,136,10151.68,0.874
2023-03-23,Holiday Extravaganza,Display,109187,1800,6357.97,196,17906.88,1.816
2023-06-13,Spring Launch,Social Media,71112,1291,2053.3,149,7399.85,2.604
2023-04-01,Black Friday,Search Ads,7104,286,923.36,31,3826.6,3.144
2023-12-14,Spring Launch,Influencer,71156,4953,13200.01,390,17818.59,0.35
2023-10-22,Spring Launch,Email,57999,4231,4234.59,320,43569.48,9.289
2023-09-12,Holiday Extravaganza,Social Media,96083,6133,9488.89,369,48751.7,4.138
2023-04-17,Summer Promo,Influencer,83371,4972,16998.93,496,78411.17,3.613
2023-08-28,Black Friday,Social Media,4588,63,105.37,5,731.99,5.947
2023-03-05,Spring Launch,Influencer,56421,2309,6683.8,191,10634.51,0.591
2023-07-19,Summer Promo,Display,24560,1242,440.63,137,11607.58,25.343
2023-11-11,Back to School,Social Media,97111,1425,4926.72,139,20462.7,3.153
2023-01-11,Holiday Extravaganza,Social Media,16665,1197,993.77,101,7612.78,6.661
2023-03-29,Summer Promo,Email,19881,1304,4470.94,128,19572.39,3.378
2023-09-17,Summer Promo,Influencer,52227,960,1516.27,74,10244.58,5.756
2023-11-26,Back to School,Display,68452,2486,2753.1,281,21118.3,6.671
2023-06-17,Back to School,Email,121988,5487,9144.8,647,36051.82,2.942
2023-10-09,Black Friday,Search Ads,22569,1101,2008.48,92,3453.1,0.719
2023-08-08,Summer Promo,Influencer,99804,5640,18777.68,123,12272.36,-0.346
2023-03-26,Spring Launch,Search Ads,55383,3972,8687.25,307,17435.97,1.007
2023-06-12,Spring Launch,Display,114208,8252,28748.42,967,169966.98,4.912
2023-08-09,Spring Launch,Email,67726,2406,3035.11,186,26751.54,7.814
2023-10-23,Holiday Extravaganza,Display,30896,542,1278.3,24,3688.61,1.886
2023-01-26,Back to School,Search Ads,144127,6891,22574.71,545,63642.72,1.819
2023-07-08,Summer Promo,Search Ads,145359,3315,1959.93,338,52095.16,25.58
2023-05-25,Summer Promo,Influencer,75447,3626,6347.24,306,35027.85,4.519
2023-08-14,Holiday Extravaganza,Email,110246,2352,1965.33,130,12957.52,5.593
2023-03-15,Summer Promo,Influencer,37272,2760,5101.82,298,32099.44,5.292
2023-08-17,Summer Promo,Influencer,109800,4522,11656.86,112,16473.84,0.413
2023-01-25,Spring Launch,Search Ads,58581,2756,7255.55,256,40164.18,4.536
2023-07-11,Black Friday,Social Media,3191,74,193.57,4,340.96,0.761
2023-04-14,Holiday Extravaganza,Influencer,86628,2088,6463.11,204,18688.38,1.892
2023-03-22,Back to School,Email,85217,3851,2493.07,327,35070.59,13.067
2023-11-28,Summer Promo,Influencer,130917,5583,14738.73,602,30245.68,1.052
2023-07-23,Black Friday,Social Media,128664,8434,26815.22,721,113889.75,3.247
2023-03-10,Black Friday,Email,73101,1518,2370.0,151,10900.26,3.599
2023-02-22,Summer Promo,Social Media,15516,846,604.86,27,1258.52,1.081
2023-08-28,Summer Promo,Search Ads,47478,1494,4699.03,64,7140.55,0.52
2023-07-17,Back to School,Email,26990,1059,2492.93,107,15562.88,5.243
2023-11-01,Spring Launch,Search Ads,69791,5166,3577.63,600,106194.17,28.683
2023-03-09,Spring Launch,Email,38405,1219,4588.11,65,3950.52,-0.139
2023-12-06,Summer Promo,Influencer,20094,978,2248.54,71,10687.78,3.753
2023-05-13,Summer Promo,Email,68174,2205,2626.84,142,25510.34,8.711
2023-08-15,Spring Launch,Social Media,37490,2036,7155.07,223,16496.68,1.306
2023-08-21,Spring Launch,Social Media,112790,3440,11542.82,77,10781.82,-0.066
2023-04-27,Black Friday,Social Media,49701,639,2345.54,62,3990.24,0.701
2023-11-18,Summer Promo,Email,8134,169,256.58,4,577.68,1.251
2023-10-16,Summer Promo,Influencer,9103,347,366.86,17,970.52,1.645
2023-04-29,Spring Launch,Search Ads,97231,6961,22699.25,471,45591.89,1.009
2023-07-25,Spring Launch,Display,83005,3204,11076.52,180,22750.84,1.054
2023-05-23,Summer Promo,Display,123638,8679,12351.01,177,31391.73,1.542
2023-09-27,Back to School,Email,31635,952,3319.13,74,11706.89,2.527
2023-11-14,Black Friday,Search Ads,141305,3521,9402.55,187,30601.97,2.255
2023-03-20,Holiday Extravaganza,Influencer,107932,5164,2855.51,400,49492.79,16.332
2023-02-10,Summer Promo,Search Ads,22340,407,1425.52,22,2737.86,0.921
2023-02-25,Holiday Extravaganza,Social Media,70906,1914,3597.18,51,5460.52,0.518
2023-08-03,Black Friday,Influencer,3579,55,95.14,3,414.1,3.353
2023-05-09,Back to School,Social Media,131095,8798,11032.01,629,62848.6,4.697
2023-02-20,Back to School,Email,98822,4693,8018.84,114,14290.98,0.782
2023-03-04,Black Friday,Influencer,80038,3717,10411.58,235,23199.32,1.228
2023-08-27,Back to School,Social Media,98667,3151,10290.45,212,9627.43,-0.064
2023-01-16,Holiday Extravaganza,Email,137842,5414,13355.45,398,43942.45,2.29
2023-03-18,Holiday Extravaganza,Search Ads,86338,6126,5259.81,658,84188.94,15.006
2023-12-07,Spring Launch,Social Media,137408,1832,1118.7,213,10853.95,8.702
2023-09-12,Spring Launch,Influencer,128707,2500,7368.34,74,6066.45,-0.177
2023-11-03,Back to School,Email,41476,1182,3554.25,108,12128.43,2.412
2023-07-22,Summer Promo,Influencer,60984,3393,2631.47,356,61839.12,22.5
2023-12-10,Back to School,Influencer,26953,1694,1374.52,74,8732.69,5.353
2023-06-06,Spring Launch,Display,116957,3728,3207.33,133,10136.0,2.16
2023-12-14,Summer Promo,Influencer,80737,4820,17464.27,194,30991.17,0.775
2023-10-09,Black Friday,Email,24914,1372,1404.4,78,10648.92,6.583
2023-06-28,Summer Promo,Social Media,136539,1924,5332.68,168,15907.95,1.983
2023-07-27,Spring Launch,Social Media,142703,4642,2788.54,148,20350.22,6.298
2023-04-10,Summer Promo,Display,149217,4647,9716.46,276,28648.0,1.948
2023-01-13,Spring Launch,Email,41237,2796,8617.46,299,25379.55,1.945
2023-03-31,Spring Launch,Email,76946,5368,13547.59,587,75367.43,4.563
2023-12-09,Spring Launch,Email,99831,4334,12328.38,343,31863.3,1.585
2023-08-21,Black Friday,Social Media,14211,255,546.74,29,4075.78,6.455
2023-05-27,Spring Launch,Search Ads,92127,5695,16451.97,507,67478.15,3.102
2023-03-14,Back to School,Email,121910,4237,6413.03,350,20102.64,2.135
2023-03-03,Holiday Extravaganza,Search Ads,149666,6322,17041.77,741,73692.53,3.324
2023-12-23,Back to School,Email,5476,376,408.14,37,2487.12,5.094
2023-08-04,Spring Launch,Display,95605,4749,3602.65,301,43250.59,11.005
2023-03-21,Spring Launch,Email,11174,838,2687.01,63,9895.21,2.683
2023-03-04,Back to School,Search Ads,90251,3779,4767.01,337,60060.29,11.599
2023-07-30,Back to School,Search Ads,96192,3044,10393.33,84,3250.39,-0.687
2023-08-25,Holiday Extravaganza,Influencer,58665,2532,7145.28,199,7864.2,0.101
2023-07-28,Holiday Extravaganza,Search Ads,64471,4419,8012.02,259,24706.23,2.084
2023-02-11,Spring Launch,Influencer,73156,3021,9983.17,167,8082.04,-0.19
2023-04-18,Summer Promo,Influencer,125655,3596,5631.85,410,54691.83,8.711
2023-08-13,Summer Promo,Social Media,12178,234,388.83,26,3444.22,7.858
2023-05-24,Spring Launch,Email,80081,3234,6263.21,69,8867.97,0.416
2023-07-06,Spring Launch,Influencer,40474,2047,815.45,222,20696.09,24.38
2023-12-26,Summer Promo,Influencer,69819,2619,6368.74,164,24179.93,2.797
2023-10-01,Holiday Extravaganza,Display,87914,4138,7394.44,286,23852.12,2.226
2023-01-16,Back to School,Email,126123,2059,1780.4,181,26065.09,13.64
2023-10-07,Spring Launch,Display,87052,2043,5787.9,58,9591.87,0.657
2023-03-06,Black Friday,Influencer,55477,2736,5446.97,67,5544.54,0.018
2023-02-12,Summer Promo,Social Media,112317,8230,14713.65,323,50530.57,2.434
2023-08-09,Black Friday,Search Ads,43876,876,612.77,68,3614.06,4.898
2023-04-29,Holiday Extravaganza,Social Media,42383,2873,8783.8,242,31902.12,2.632
2023-07-04,Holiday Extravaganza,Social Media,9495,483,1017.33,15,2309.7,1.27
2023-04-01,Spring Launch,Display,87636,6119,2287.47,269,12702.57,4.553
2023-07-17,Holiday Extravaganza,Search Ads,85789,2745,6808.72,131,14929.45,1.193
2023-12-01,Spring Launch,Social Media,89422,3683,9479.56,137,22272.65,1.35
2023-09-19,Spring Launch,Display,25633,1665,4781.5,143,22416.13,3.688
2023-05-13,Summer Promo,Display,57488,2362,5258.81,168,25175.0,3.787
2023-02-06,Summer Promo,Search Ads,55908,1551,3804.53,181,25455.59,5.691
2023-10-13,Black Friday,Search Ads,103455,3664,12215.02,343,49037.72,3.015
2023-08-02,Spring Launch,Social Media,20853,730,1106.06,83,12086.22,9.927
2023-09-29,Holiday Extravaganza,Display,29356,590,1669.63,25,1609.04,-0.036
2023-01-28,Back to School,Social Media,68628,2002,2533.35,216,16457.36,5.496
2023-05-13,Spring Launch,Influencer,114393,5851,19310.95,238,22372.47,0.159
2023-08-31,Spring Launch,Influencer,88961,4739,15533.71,524,48200.02,2.103
2023-09-25,Back to School,Email,132393,4887,4264.99,459,60519.52,13.19
2023-10-08,Black Friday,Social Media,56574,2277,6979.49,220,33052.38,3.736
2023-10-02,Holiday Extravaganza,Display,24887,595,1334.73,22,3361.1,1.518
2023-03-20,Summer Promo,Search Ads,113732,3009,3547.45,309,39573.41,10.155
2023-03-26,Black Friday,Influencer,117167,2218,6141.73,189,33738.99,4.493
2023-12-13,Holiday Extravaganza,Display,5094,123,410.51,7,1055.56,1.571
2023-03-05,Black Friday,Search Ads,30402,413,1192.74,36,2698.22,1.262
2023-01-04,Spring Launch,Display,12728,615,1711.7,26,1414.8,-0.173
2023-06-09,Back to School,Search Ads,10311,695,838.07,27,1176.9,0.404
2023-12-25,Holiday Extravaganza,Influencer,76982,4926,8097.53,546,44482.98,4.493
2023-07-28,Summer Promo,Display,130661,1690,979.89,178,15867.32,15.193
2023-10-25,Summer Promo,Display,116507,6601,22514.69,389,54987.25,1.442
2023-05-22,Holiday Extravaganza,Social Media,58383,3402,9630.63,400,64270.48,5.674
2023-08-03,Holiday Extravaganza,Email,140040,6474,7643.59,533,43153.31,4.646
2023-11-26,Back to School,Social Media,72075,1089,3117.8,32,2981.92,-0.044
2023-01-31,Summer Promo,Social Media,10398,467,1285.98,12,696.64,-0.458
2023-03-05,Spring Launch,Display,16579,815,2209.72,90,6366.35,1.881
2023-09-05,Holiday Extravaganza,Influencer,147559,5526,4784.65,166,7780.15,0.626
