Order ID,Order Date,Customer,Segment,Category,Sub-Category,Product,Region,State,Sales,Quantity,Discount,Profit
CA-2023-742412,2024-04-14,Cust-0737,Home Office,Office Supplies,Art,Art Pro Series 67,South,Virginia,2273.95,5,0.2,134.91
CA-2024-608136,2023-10-04,Cust-0245,Consumer,Technology,Copiers,Copiers Pro Series 50,East,Massachusetts,1749.78,9,0.0,430.02
CA-2022-840734,2022-08-08,Cust-0066,Consumer,Furniture,Tables,Tables Pro Series 63,Central,Wisconsin,3810.31,7,,929.26
CA-2024-498858,2023-05-04,Cust-0007,Home Office,Office Supplies,Art,Art Pro Series 78,Central,Wisconsin,4346.31,9,0.3,139.33
CA-2023-557007,2023-05-13,Cust-0030,Consumer,Office Supplies,Binders,Binders Pro Series 89,South,North Carolina,276.98,9,0.0,80.63
CA-2022-188025,2023-10-21,Cust-0439,Consumer,Technology,Machines,Machines Pro Series 51,South,North Carolina,2902.69,4,0.0,1073.73
CA-2023-888539,2024-05-01,Cust-0432,Consumer,Technology,Phones,Phones Pro Series 54,East,New Jersey,4012.82,4,0.2,613.72
CA-2022-359295,2022-07-24,Cust-0021,Corporate,Furniture,Chairs,Chairs Pro Series 82,West,Washington,1148.18,4,0.0,278.12
CA-2024-736745,2024-02-05,Cust-0736,Consumer,Technology,Phones,Phones Pro Series 49,West,Oregon,10418.33,10,0.5,-1571.46
CA-2024-307963,2022-03-19,Cust-0607,Corporate,Furniture,Bookcases,Bookcases Pro Series 97,West,California,4862.34,10,0.2,639.32
CA-2022-464069,2023-06-30,Cust-0439,Corporate,Technology,Machines,Machines Pro Series 72,East,Massachusetts,1391.21,2,0.0,518.77
CA-2023-841666,2022-06-06,Cust-0446,Consumer,Furniture,Bookcases,Bookcases Pro Series 51,Central,Wisconsin,2003.91,4,0.0,742.26
CA-2022-886931,2023-04-21,Cust-0584,Corporate,Technology,Copiers,Copiers Pro Series 33,South,Georgia,3049.68,8,0.2,228.98
CA-2024-835244,2024-06-20,Cust-0283,Corporate,Technology,Machines,Machines Pro Series 72,West,California,10409.34,9,0.1,2409.51
CA-2023-569945,2024-03-22,Cust-0018,Consumer,Furniture,Bookcases,Bookcases Pro Series 94,West,Arizona,2308.77,10,0.1,360.03
CA-2024-677124,2022-12-05,Cust-0361,Corporate,Technology,Phones,Phones Pro Series 34,Central,Michigan,1498.61,6,0.1,390.46
CA-2022-300845,2022-08-10,Cust-0757,Consumer,Office Supplies,Storage,Storage Pro Series 39,Central,Illinois,719.84,6,0.0,204.1
CA-2023-147726,2022-02-25,Cust-0567,Consumer,Technology,Phones,Phones Pro Series 83,West,Arizona,3732.72,5,0.0,731.95
CA-2022-364742,2024-06-01,Cust-0490,Consumer,Furniture,Chairs,Chairs Pro Series 29,East,New Jersey,1468.55,3,0.3,-100.9
CA-2022-224205,2023-07-26,Cust-0783,Consumer,Furniture,Furnishings,Furnishings Pro Series 48,West,Arizona,5941.68,10,0.0,1813.74
CA-2024-876039,2022-04-12,Cust-0782,Consumer,Furniture,Tables,Tables Pro Series 40,West,Oregon,1013.75,3,0.0,255.6
CA-2024-722656,2023-04-27,Cust-0299,Consumer,Office Supplies,Art,Art Pro Series 19,Central,Michigan,2221.95,4,0.2,324.99
CA-2024-942956,2022-07-22,Cust-0436,Consumer,Office Supplies,Binders,Binders Pro Series 19,West,Washington,112.06,1,0.0,37.79
CA-2024-402630,2023-03-26,Cust-0128,Consumer,Office Supplies,Envelopes,Envelopes Pro Series 79,Central,Wisconsin,2168.71,8,0.1,634.03
CA-2024-437978,2023-09-11,Cust-0257,Consumer,Office Supplies,Storage,Storage Pro Series 83,West,California,461.42,1,0.0,129.08
CA-2023-391668,2022-07-05,Cust-0600,Consumer,Furniture,Furnishings,Furnishings Pro Series 52,South,Florida,2442.17,6,0.3,-18.44
CA-2024-619536,2022-10-23,Cust-0679,Home Office,Technology,Copiers,Copiers Pro Series 51,East,New Jersey,2915.32,2,0.0,812.35
CA-2022-789606,2024-06-09,Cust-0556,Consumer,Furniture,Furnishings,Furnishings Pro Series 90,East,Pennsylvania,3676.76,8,0.0,1056.35
CA-2023-559398,2024-06-20,Cust-0716,Consumer,Office Supplies,Storage,Storage Pro Series 80,East,Pennsylvania,338.07,1,0.0,134.57
CA-2022-583863,2022-05-01,Cust-0664,Home Office,Furniture,Bookcases,Bookcases Pro Series 63,South,Georgia,4707.54,8,0.0,1354.91
CA-2023-299869,2023-09-06,Cust-0521,Corporate,Technology,Machines,Machines Pro Series 53,West,California,4134.47,9,0.0,1370.63
CA-2024-708093,2023-11-07,Cust-0502,Home Office,Technology,Machines,Machines Pro Series 68,South,Virginia,7889.01,6,0.5,-1501.27
CA-2023-344907,2024-05-26,Cust-0795,Consumer,Office Supplies,Art,Art Pro Series 59,Central,Wisconsin,914.3,3,0.0,251.96
CA-2024-448121,2024-06-09,Cust-0103,Home Office,Furniture,Furnishings,Furnishings Pro Series 11,South,Florida,764.51,3,0.1,83.02
CA-2023-919488,2022-09-29,Cust-0347,Corporate,Office Supplies,Envelopes,Envelopes Pro Series 58,South,Florida,2290.07,6,0.3,73.25
CA-2024-137642,2023-09-25,Cust-0071,Consumer,Office Supplies,Art,Art Pro Series 22,Central,Texas,549.1,2,0.1,162.45
CA-2022-440131,2024-03-26,Cust-0058,Consumer,Technology,Machines,Machines Pro Series 82,Central,Wisconsin,964.13,3,0.0,354.52
CA-2024-816318,2022-09-04,Cust-0510,Home Office,Furniture,Bookcases,Bookcases Pro Series 68,West,Washington,2025.51,5,0.3,53.3
CA-2023-810526,2023-07-14,Cust-0162,Consumer,Furniture,Furnishings,Furnishings Pro Series 98,Central,Michigan,1411.24,5,0.0,564.27
CA-2023-211834,2022-08-31,Cust-0391,Corporate,Technology,Machines,Machines Pro Series 45,Central,Michigan,883.62,1,0.1,226.35
CA-2022-735863,2024-02-03,Cust-0509,Home Office,Furniture,Bookcases,Bookcases Pro Series 38,Central,Texas,1512.89,4,0.1,378.57
CA-2024-813928,2024-05-08,Cust-0141,Corporate,Office Supplies,Paper,Paper Pro Series 84,East,Massachusetts,2660.58,6,0.0,595.38
CA-2024-535686,2022-06-29,Cust-0206,Consumer,Office Supplies,Storage,Storage Pro Series 71,Central,Michigan,2258.69,5,0.0,403.84
CA-2022-247594,2024-02-12,Cust-0232,,Technology,Machines,Machines Pro Series 11,South,Georgia,4209.66,5,0.0,1339.54
CA-2024-374896,2023-08-22,Cust-0391,Home Office,Furniture,Furnishings,Furnishings Pro Series 13,Central,Illinois,5322.77,10,0.1,1590.52
CA-2022-779112,2022-03-06,Cust-0651,Home Office,Technology,Phones,Phones Pro Series 14,Central,Wisconsin,7471.08,5,0.0,1559.21
CA-2024-242254,2023-02-02,Cust-0465,Consumer,Office Supplies,Paper,Paper Pro Series 72,South,North Carolina,2537.48,10,0.5,-613.62
CA-2023-327823,2023-03-31,Cust-0456,Home Office,Office Supplies,Storage,Storage Pro Series 79,Central,Illinois,302.53,6,0.0,118.61
CA-2023-196126,2023-11-10,Cust-0218,Corporate,Office Supplies,Binders,Binders Pro Series 26,East,New York,1350.45,10,0.2,173.6
CA-2024-326441,2024-04-12,Cust-0239,Consumer,Technology,Accessories,Accessories Pro Series 26,West,California,3923.36,9,0.0,1236.9
CA-2022-238205,2022-01-16,Cust-0367,Corporate,Technology,Copiers,Copiers Pro Series 16,West,Oregon,3399.72,3,0.1,871.74
CA-2023-570050,2024-03-07,Cust-0371,Corporate,Furniture,Chairs,Chairs Pro Series 94,East,New Jersey,1723.08,9,0.1,134.03
CA-2023-988456,2023-02-16,Cust-0437,Corporate,Technology,Phones,Phones Pro Series 51,South,Virginia,2906.34,10,0.0,889.57
CA-2024-674993,2023-12-31,Cust-0333,Consumer,Furniture,Furnishings,Furnishings Pro Series 22,Central,Wisconsin,1027.77,2,0.1,269.52
CA-2024-325468,2023-03-17,Cust-0463,Home Office,Office Supplies,Art,Art Pro Series 63,South,Georgia,395.68,2,0.0,84.57
CA-2022-820184,2023-05-01,Cust-0069,Consumer,Furniture,Bookcases,Bookcases Pro Series 26,East,New York,450.8,9,0.5,-49.4
CA-2024-228168,2023-02-25,Cust-0363,Home Office,Office Supplies,Envelopes,Envelopes Pro Series 49,South,Florida,453.64,6,0.1,-885.23
CA-2023-335137,2024-05-17,Cust-0111,Consumer,Office Supplies,Envelopes,Envelopes Pro Series 38,Central,Illinois,3565.91,7,0.5,-161.87
CA-2024-807764,2023-10-21,Cust-0571,Consumer,Technology,Copiers,Copiers Pro Series 53,Central,Illinois,532.02,6,0.3,27.44
CA-2023-172965,2022-05-26,Cust-0759,Corporate,Office Supplies,Binders,Binders Pro Series 58,East,New York,1962.68,7,0.0,447.31
CA-2023-914571,2023-08-05,Cust-0611,Consumer,Technology,Phones,Phones Pro Series 96,East,Pennsylvania,932.77,2,0.1,178.55
CA-2023-534303,2022-10-07,Cust-0221,Corporate,Furniture,Bookcases,Bookcases Pro Series 96,East,Massachusetts,2996.8,10,0.1,243.8
CA-2023-728437,2022-02-26,Cust-0008,Consumer,Office Supplies,Storage,Storage Pro Series 51,West,Washington,39.04,2,0.2,1.32
CA-2023-658453,2023-12-22,Cust-0236,Corporate,Technology,Phones,Phones Pro Series 65,Central,Illinois,732.85,1,0.0,167.28
CA-2023-701253,2023-02-19,Cust-0727,Corporate,Furniture,Bookcases,Bookcases Pro Series 31,Central,Illinois,2841.57,10,0.1,455.97
CA-2023-985506,2022-04-19,Cust-0250,Consumer,Technology,Copiers,Copiers Pro Series 53,South,Florida,2211.83,4,0.0,614.05
CA-2022-656379,2023-06-07,Cust-0199,Home Office,Office Supplies,Binders,Binders Pro Series 40,Central,Michigan,201.34,2,0.0,60.52
CA-2024-179013,2022-07-01,Cust-0792,Corporate,Furniture,Bookcases,Bookcases Pro Series 90,South,Virginia,619.86,6,0.0,161.51
CA-2023-935012,2022-10-09,Cust-0606,Consumer,Furniture,Chairs,Chairs Pro Series 17,East,Massachusetts,3009.26,6,0.0,1101.58
CA-2022-744883,2023-09-01,Cust-0520,Consumer,Office Supplies,Envelopes,Envelopes Pro Series 93,East,New Jersey,812.37,4,0.0,152.49
CA-2022-572407,2022-04-16,Cust-0352,Home Office,Technology,Machines,Machines Pro Series 66,,Pennsylvania,7400.72,9,0.0,1799.95
CA-2023-506235,2023-02-23,Cust-0794,Consumer,Technology,Phones,Phones Pro Series 81,East,Massachusetts,3384.42,7,0.2,521.68
CA-2024-257677,2022-12-08,Cust-0084,Corporate,Technology,Machines,Machines Pro Series 26,West,Oregon,10865.44,10,0.0,3148.05
CA-2024-930117,2022-12-03,Cust-0131,Corporate,Furniture,Chairs,Chairs Pro Series 56,East,New Jersey,602.27,5,0.0,233.03
CA-2023-301332,2022-08-20,Cust-0141,Consumer,Furniture,Chairs,Chairs Pro Series 94,Central,Illinois,3166.14,6,0.1,694.37
CA-2022-270128,2022-07-05,Cust-0710,Corporate,Technology,Copiers,Copiers Pro Series 96,West,Arizona,5827.26,4,0.1,1504.0
CA-2023-345369,2023-07-01,Cust-0245,Consumer,Technology,Machines,Machines Pro Series 69,South,North Carolina,5924.68,5,0.1,1034.84
CA-2022-956572,2022-07-24,Cust-0620,Consumer,Furniture,Bookcases,Bookcases Pro Series 80,Central,Illinois,862.34,2,0.1,87.24
CA-2022-900185,2022-06-14,Cust-0280,Consumer,Technology,Accessories,Accessories Pro Series 67,West,Arizona,8407.62,6,0.0,2094.45
CA-2023-347231,2023-01-31,Cust-0084,Consumer,Office Supplies,Storage,Storage Pro Series 28,East,Massachusetts,112.22,3,0.3,3.15
CA-2022-895702,2023-12-24,Cust-0481,Consumer,Technology,Accessories,Accessories Pro Series 29,East,New York,12736.09,9,0.1,2239.18
CA-2023-349183,2022-11-05,Cust-0125,Consumer,Technology,Machines,Machines Pro Series 86,South,Virginia,930.04,9,0.1,121.36
CA-2022-405420,2023-03-16,Cust-0002,Corporate,Technology,Phones,Phones Pro Series 77,West,Arizona,1056.63,6,0.1,207.98
CA-2024-681070,2022-01-21,Cust-0400,Home Office,Office Supplies,Storage,Storage Pro Series 12,East,New Jersey,2857.71,6,0.0,952.29
CA-2024-208699,2024-03-01,Cust-0596,Corporate,Technology,Copiers,Copiers Pro Series 92,Central,Texas,3777.43,3,0.1,1190.66
CA-2023-762423,2022-07-06,Cust-0139,Consumer,Technology,Phones,Phones Pro Series 35,South,Florida,528.15,1,0.0,131.8
CA-2024-596395,2022-09-17,Cust-0038,Corporate,Technology,Phones,Phones Pro Series 93,West,Oregon,2807.81,6,0.2,278.64
CA-2023-879414,2023-03-27,Cust-0396,Consumer,Furniture,Bookcases,Bookcases Pro Series 76,West,Arizona,2418.36,5,0.2,23.53
CA-2024-962287,2022-07-04,Cust-0559,Consumer,Technology,Copiers,Copiers Pro Series 49,East,New York,7485.78,8,0.0,2413.72
CA-2023-568849,2022-02-13,Cust-0745,Home Office,Technology,Phones,Phones Pro Series 19,Central,Wisconsin,4171.31,7,0.2,666.79
CA-2022-249715,2024-05-19,Cust-0623,Corporate,Technology,Accessories,Accessories Pro Series 92,South,Florida,3565.52,6,0.3,-292.03
CA-2022-812048,2023-04-06,Cust-0380,Consumer,Furniture,Furnishings,Furnishings Pro Series 50,East,Pennsylvania,805.11,5,0.0,268.84
CA-2023-642895,2023-02-01,Cust-0576,Consumer,Technology,Copiers,Copiers Pro Series 98,Central,Wisconsin,2914.03,8,0.0,491.05
CA-2022-848022,2023-04-01,Cust-0090,Home Office,Office Supplies,Envelopes,Envelopes Pro Series 79,Central,Michigan,2682.15,5,0.3,235.9
CA-2024-768676,2022-06-28,Cust-0371,Corporate,Office Supplies,Binders,Binders Pro Series 73,East,Pennsylvania,226.12,1,0.1,42.25
CA-2024-236074,2023-09-19,Cust-0089,Consumer,Furniture,Furnishings,Furnishings Pro Series 83,South,Virginia,176.63,2,0.0,29.77
CA-2023-813145,2023-06-14,Cust-0353,Consumer,Furniture,Chairs,Chairs Pro Series 25,West,Washington,940.63,9,0.0,216.97
CA-2024-336422,2022-12-21,Cust-0532,Home Office,Technology,Copiers,Copiers Pro Series 26,East,Massachusetts,4762.44,5,0.0,1477.53
CA-2024-708851,2022-06-07,Cust-0176,Corporate,Office Supplies,Paper,Paper Pro Series 20,Central,Illinois,569.9,1,0.2,32.01
CA-2022-904214,2023-08-09,Cust-0427,Corporate,Office Supplies,Envelopes,Envelopes Pro Series 47,East,New Jersey,1487.61,5,0.2,239.87
CA-2023-575575,2022-03-16,Cust-0706,Consumer,Furniture,Tables,Tables Pro Series 53,South,Virginia,990.46,10,0.3,-10.07
CA-2023-518084,2022-05-14,Cust-0779,Consumer,Technology,Phones,Phones Pro Series 44,East,Massachusetts,3456.36,8,0.0,769.22
CA-2023-745270,2023-03-05,Cust-0255,Home Office,Office Supplies,Storage,Storage Pro Series 34,West,Oregon,919.46,3,0.1,179.01
CA-2023-621530,2022-01-24,Cust-0093,Home Office,Technology,Copiers,Copiers Pro Series 16,South,North Carolina,479.53,1,0.1,134.61
CA-2024-593446,2022-10-20,Cust-0550,Consumer,Technology,Copiers,Copiers Pro Series 56,East,New Jersey,4197.42,7,0.0,1228.04
CA-2022-480133,2023-07-21,Cust-0296,Consumer,Office Supplies,Envelopes,Envelopes Pro Series 97,South,Georgia,845.04,10,0.5,-128.04
CA-2023-684929,2023-01-10,Cust-0774,Consumer,Technology,Accessories,Accessories Pro Series 52,South,Florida,6539.62,8,0.0,2441.13
CA-2022-443897,2023-09-20,Cust-0327,Consumer,Furniture,Furnishings,Furnishings Pro Series 82,Central,Michigan,1464.06,5,0.0,340.85
CA-2022-536774,2023-08-21,Cust-0316,Corporate,Technology,Accessories,Accessories Pro Series 16,East,New Jersey,7622.37,10,0.1,1907.85
CA-2023-254954,2024-04-21,Cust-0698,Consumer,Technology,Copiers,Copiers Pro Series 63,East,Pennsylvania,1999.21,3,0.0,550.69
CA-2024-594514,2024-06-12,Cust-0754,Corporate,Furniture,Furnishings,Furnishings Pro Series 77,West,Washington,1389.82,7,0.0,525.4
CA-2023-672808,2022-12-29,Cust-0693,Corporate,Technology,Accessories,Accessories Pro Series 45,Central,Wisconsin,4534.82,9,0.3,705.46
CA-2023-839142,2022-08-01,Cust-0707,Corporate,Technology,Copiers,Copiers Pro Series 46,Central,Wisconsin,1788.67,2,0.1,525.76
CA-2023-958130,2022-12-20,Cust-0792,Home Office,Technology,Phones,Phones Pro Series 54,Central,Illinois,8091.84,8,0.2,351.97
CA-2024-384303,2023-07-30,Cust-0713,Consumer,Technology,Accessories,Accessories Pro Series 91,East,Pennsylvania,618.15,4,0.0,203.58
CA-2022-814281,2024-02-29,Cust-0141,Consumer,Furniture,Furnishings,Furnishings Pro Series 71,West,Arizona,1828.83,4,0.0,404.82
CA-2022-906066,2022-04-02,Cust-0668,Corporate,Furniture,Tables,Tables Pro Series 14,East,Pennsylvania,3331.7,7,0.0,1123.62
CA-2023-139286,2022-01-10,Cust-0306,Corporate,Technology,Machines,Machines Pro Series 27,East,Massachusetts,6701.31,9,0.0,1193.92
CA-2022-866634,2023-04-15,Cust-0664,Consumer,Office Supplies,Storage,Storage Pro Series 82,West,California,470.66,4,0.3,63.19
CA-2023-640310,2022-12-02,Cust-0089,Consumer,Office Supplies,Art,Art Pro Series 51,East,Pennsylvania,75.98,4,0.0,19.88
CA-2023-445637,2022-11-06,Cust-0597,Corporate,Furniture,Tables,Tables Pro Series 17,East,Massachusetts,574.51,2,0.0,184.72
CA-2024-907236,2022-11-15,Cust-0707,Consumer,Furniture,Tables,Tables Pro Series 27,Central,Michigan,836.91,8,0.2,118.37
CA-2023-836038,2023-07-17,Cust-0483,Corporate,Furniture,Chairs,Chairs Pro Series 77,West,Washington,2591.85,8,0.0,983.12
CA-2022-164758,2024-04-28,Cust-0561,Home Office,Technology,Machines,Machines Pro Series 24,West,Washington,4392.09,4,0.0,1645.81
CA-2023-947975,2022-02-26,Cust-0465,Consumer,Furniture,Furnishings,Furnishings Pro Series 96,South,Virginia,2190.59,5,0.0,775.72
CA-2024-328486,2023-08-16,Cust-0075,Consumer,Furniture,Chairs,Chairs Pro Series 18,Central,Illinois,268.52,8,0.0,91.9
CA-2024-864715,2023-10-24,Cust-0431,Consumer,Office Supplies,Art,Art Pro Series 58,South,Virginia,828.79,2,0.1,169.76
CA-2024-464663,2022-05-02,Cust-0183,Home Office,Office Supplies,Binders,Binders Pro Series 10,South,North Carolina,587.42,1,0.0,193.72
CA-2023-657772,2023-01-24,Cust-0236,Consumer,Technology,Phones,Phones Pro Series 14,Central,Texas,6672.34,7,0.3,882.49
CA-2022-316092,2022-03-10,Cust-0104,Corporate,Technology,Phones,Phones Pro Series 61,South,Florida,3302.09,8,0.0,1208.34
CA-2022-246942,2023-05-31,Cust-0297,Consumer,Technology,Accessories,Accessories Pro Series 94,Central,Michigan,3544.93,9,0.0,585.76
CA-2024-870925,2022-06-29,Cust-0642,Corporate,Office Supplies,Art,Art Pro Series 77,South,Florida,2534.04,6,0.0,570.09
CA-2022-891062,2023-07-05,Cust-0485,Consumer,Office Supplies,Binders,Binders Pro Series 69,West,Oregon,344.0,1,0.5,-38.07
CA-2022-507286,2022-09-06,Cust-0262,Consumer,Office Supplies,Paper,Paper Pro Series 78,East,New Jersey,180.6,4,0.0,54.4
CA-2022-176319,2022-07-12,Cust-0780,Corporate,Technology,Copiers,Copiers Pro Series 48,West,Arizona,380.77,1,0.0,127.7
CA-2024-890973,2023-05-06,Cust-0249,Corporate,Office Supplies,Envelopes,Envelopes Pro Series 51,West,Arizona,1188.44,5,0.1,189.93
CA-2023-477114,2023-06-10,Cust-0510,Consumer,Office Supplies,Storage,Storage Pro Series 50,South,Georgia,292.2,7,0.3,27.85
CA-2022-373441,2023-07-21,Cust-0599,Corporate,Technology,Copiers,Copiers Pro Series 39,South,Georgia,6223.71,7,0.0,1790.32
CA-2024-453961,2022-09-21,Cust-0782,Home Office,Technology,Copiers,Copiers Pro Series 31,South,Virginia,3308.54,3,0.0,1254.68
CA-2024-772985,2022-03-02,Cust-0537,Consumer,Office Supplies,Art,Art Pro Series 27,East,New York,219.04,4,0.0,44.83
CA-2023-491329,2022-03-03,Cust-0633,Corporate,Technology,Machines,Machines Pro Series 11,South,Virginia,831.77,1,0.0,328.02
CA-2022-626611,2024-04-12,Cust-0715,Corporate,Office Supplies,Envelopes,Envelopes Pro Series 29,West,California,509.12,4,0.1,139.4
CA-2023-933551,2023-02-11,Cust-0081,Consumer,Furniture,Tables,Tables Pro Series 48,South,Virginia,794.87,2,0.3,79.4
CA-2022-524965,2023-01-24,Cust-0387,Corporate,Office Supplies,Paper,Paper Pro Series 73,East,New York,2745.9,7,0.0,1082.8
CA-2022-653815,2022-02-13,Cust-0236,Consumer,Technology,Phones,Phones Pro Series 97,South,Georgia,6785.11,5,0.1,530.77
CA-2023-116418,2022-08-01,Cust-0602,Consumer,Technology,Accessories,Accessories Pro Series 82,South,Florida,7289.73,7,0.1,1209.81
CA-2024-246748,2024-03-20,Cust-0706,Corporate,Technology,Accessories,Accessories Pro Series 19,Central,Illinois,5636.04,6,0.1,1233.74
CA-2023-131064,2023-10-12,Cust-0280,Corporate,Technology,Machines,Machines Pro Series 65,South,Virginia,3135.5,3,0.1,286.66
CA-2024-409727,2024-03-28,Cust-0253,Corporate,Technology,Accessories,Accessories Pro Series 59,East,Massachusetts,3553.17,6,0.0,1370.6
CA-2023-477400,2024-02-19,Cust-0277,Consumer,Furniture,Furnishings,Furnishings Pro Series 23,East,Pennsylvania,67.43,1,0.1,14.78
CA-2023-503951,2022-01-13,Cust-0299,Consumer,Furniture,Tables,Tables Pro Series 97,East,Pennsylvania,799.11,7,0.0,173.49
CA-2022-166340,2022-06-21,Cust-0446,Consumer,Office Supplies,Storage,Storage Pro Series 42,Central,Wisconsin,1746.9,4,0.0,531.35
CA-2023-212168,2022-05-19,Cust-0312,Consumer,Office Supplies,Art,Art Pro Series 52,South,Georgia,1686.57,8,0.2,345.54
CA-2024-242736,2022-11-04,Cust-0329,Corporate,Technology,Machines,Machines Pro Series 50,West,Arizona,5617.61,5,0.1,1752.36
CA-2022-441716,2023-01-21,Cust-0288,Home Office,Technology,Accessories,Accessories Pro Series 85,South,Georgia,3019.47,9,0.2,-9.88
CA-2024-584045,2023-12-27,Cust-0215,Consumer,Office Supplies,Art,Art Pro Series 96,Central,Illinois,771.36,8,0.0,164.43
