CustomerID,Tenure,Contract,PaymentMethod,MonthlyCharges,TotalCharges,InternetService,TechSupport,Churn
7590-C0027,31,Month-to-month,Mailed check,28.62,902.79,Fiber optic,Yes,Yes
7590-C0028,35,Month-to-month,Electronic check,50.88,1843.65,DSL,No,Yes
7590-C0029,10,Month-to-month,Credit card,99.51,1012.13,No,No,No
7590-C0030,12,Month-to-month,Bank transfer,57.71,692.95,Fiber optic,Yes,No
7590-C0031,17,One year,Bank transfer,81.04,1381.31,Fiber optic,Yes,No
7590-C0032,69,One year,Electronic check,31.49,2240.42,No,Yes,No
7590-C0033,51,Month-to-month,Credit card,49.19,2396.3,DSL,Yes,Yes
7590-C0034,12,Month-to-month,Mailed check,23.52,284.37,No,No,Yes
7590-C0035,44,Two year,Mailed check,71.31,2996.39,Fiber optic,Yes,No
7590-C0036,25,One year,Mailed check,116.99,2874.75,Fiber optic,No,No
7590-C0037,4,Month-to-month,Credit card,63.0,261.5,No,Yes,Yes
7590-C0038,13,Month-to-month,Mailed check,85.29,1108.52,No,No,Yes
7590-C0039,72,Month-to-month,Electronic check,38.21,2647.43,Fiber optic,No,No
7590-C0040,4,Month-to-month,Bank transfer,104.77,421.82,DSL,No,No
7590-C0041,9,One year,Bank transfer,97.55,895.51,Fiber optic,Yes,No
7590-C0042,64,Two year,Bank transfer,58.06,3764.94,Fiber optic,Yes,No
7590-C0043,49,One year,Electronic check,113.96,5754.54,Fiber optic,Yes,No
7590-C0044,60,One year,Credit card,46.77,2931.78,No,Yes,No
7590-C0045,52,Month-to-month,Electronic check,55.85,2970.02,DSL,No,Yes
7590-C0046,29,Month-to-month,Credit card,62.03,1801.6,Fiber optic,Yes,Yes
7590-C0047,48,One year,Electronic check,93.91,4458.48,DSL,Yes,No
7590-C0048,64,One year,Electronic check,88.0,5490.49,Fiber optic,Yes,No
7590-C0049,45,Two year,Electronic check,23.27,1065.26,No,Yes,No
7590-C0050,59,Two year,Credit card,50.34,2978.32,Fiber optic,Yes,No
7590-C0051,23,Two year,Bank transfer,57.23,1264.44,DSL,Yes,No
7590-C0052,8,One year,Bank transfer,37.58,297.35,Fiber optic,No,No
7590-C0053,34,Month-to-month,Credit card,70.62,2395.01,No,No,Yes
7590-C0054,19,One year,Credit card,88.07,1636.96,DSL,Yes,No
7590-C0055,21,One year,Bank transfer,74.81,1605.28,No,Yes,No
7590-C0056,69,One year,Credit card,59.04,4181.3,DSL,Yes,No
7590-C0057,30,Month-to-month,Mailed check,85.89,2601.62,DSL,No,Yes
7590-C0058,18,Month-to-month,Electronic check,59.43,1100.35,No,Yes,No
7590-C0059,66,Month-to-month,Credit card,65.5,4511.76,DSL,No,No
7590-C0060,70,Two year,Mailed check,117.85,8020.7,Fiber optic,Yes,No
7590-C0061,61,Month-to-month,Credit card,63.54,3738.26,Fiber optic,Yes,No
7590-C0062,25,One year,Credit card,68.47,1742.36,DSL,Yes,No
7590-C0063,59,One year,Mailed check,114.35,6513.14,No,No,No
7590-C0064,58,Two year,Mailed check,65.54,3739.66,Fiber optic,Yes,No
7590-C0065,25,Two year,Bank transfer,90.07,2267.81,DSL,No,No
7590-C0066,12,Month-to-month,Bank transfer,28.21,322.41,DSL,No,Yes
7590-C0067,30,Month-to-month,Mailed check,81.5,2562.5,No,Yes,Yes
7590-C0068,60,Month-to-month,Bank transfer,103.29,6197.83,DSL,No,Yes
7590-C0069,24,Month-to-month,Mailed check,85.7,1991.85,Fiber optic,Yes,No
7590-C0070,39,One year,Credit card,21.55,801.36,No,No,No
7590-C0071,12,Month-to-month,Mailed check,67.79,842.85,Fiber optic,No,No
7590-C0072,46,Month-to-month,Credit card,95.29,4396.69,No,Yes,No
7590-C0073,58,One year,Bank transfer,103.14,6062.04,DSL,Yes,No
7590-C0074,57,Two year,Mailed check,74.65,4408.02,DSL,No,No
7590-C0075,56,Two year,Credit card,61.44,3310.1,DSL,Yes,No
7590-C0076,21,One year,Electronic check,54.59,1103.17,Fiber optic,No,No
7590-C0077,20,Two year,Mailed check,68.48,1359.66,No,Yes,Yes
7590-C0078,21,Month-to-month,Electronic check,83.03,1830.39,No,No,Yes
7590-C0079,66,Month-to-month,Mailed check,59.65,4114.38,Fiber optic,Yes,No
7590-C0080,55,Month-to-month,Credit card,61.59,3279.91,DSL,Yes,No
7590-C0081,48,Month-to-month,Electronic check,38.26,1754.22,Fiber optic,No,No
7590-C0082,18,Month-to-month,Mailed check,60.99,1079.35,DSL,No,Yes
7590-C0083,61,One year,Credit card,25.25,1517.51,Fiber optic,Yes,No
7590-C0084,59,One year,Credit card,66.96,4044.76,No,No,No
7590-C0085,37,One year,Electronic check,92.98,3496.07,Fiber optic,No,No
7590-C0086,53,One year,Credit card,111.85,5769.99,DSL,Yes,No
7590-C0087,46,One year,Mailed check,116.71,5118.38,No,Yes,No
7590-C0088,42,Two year,Bank transfer,104.81,4307.41,No,Yes,No
7590-C0089,67,Two year,Electronic check,115.1,7902.38,No,No,No
7590-C0090,34,One year,Electronic check,71.88,2336.56,No,Yes,Yes
7590-C0091,9,Month-to-month,Credit card,56.42,524.66,No,Yes,No
7590-C0092,64,Month-to-month,Bank transfer,59.36,3828.05,Fiber optic,Yes,No
7590-C0093,16,Month-to-month,Credit card,61.95,950.0,DSL,No,Yes
7590-C0094,21,Month-to-month,Mailed check,77.88,1698.08,No,No,No
7590-C0095,39,Month-to-month,Bank transfer,104.29,4060.0,Fiber optic,No,Yes
7590-C0096,66,Two year,Electronic check,25.49,1648.19,No,Yes,No
7590-C0097,31,One year,Mailed check,96.33,2909.44,No,No,No
7590-C0098,6,Two year,Mailed check,27.35,166.56,Fiber optic,No,No
7590-C0099,1,Two year,Bank transfer,60.36,61.27,Fiber optic,Yes,Yes
7590-C0100,10,Month-to-month,Mailed check,59.37,579.52,DSL,No,No
7590-C0101,6,Month-to-month,Credit card,24.5,143.6,No,Yes,Yes
7590-C0102,38,Month-to-month,Credit card,108.68,4116.05,No,No,Yes
7590-C0103,19,Month-to-month,Electronic check,58.85,1125.52,Fiber optic,Yes,Yes
7590-C0104,43,Two year,Mailed check,33.41,1427.56,DSL,Yes,No
7590-C0105,1,Month-to-month,Bank transfer,100.51,100.56,Fiber optic,Yes,Yes
7590-C0106,19,Month-to-month,Bank transfer,95.16,1739.51,Fiber optic,Yes,No
7590-C0107,44,One year,Bank transfer,52.03,2190.59,Fiber optic,Yes,No
7590-C0108,13,Two year,Bank transfer,85.91,1084.1,DSL,No,No
7590-C0109,56,Month-to-month,Credit card,47.32,2698.03,No,Yes,Yes
7590-C0110,67,Two year,Mailed check,22.91,1567.72,DSL,No,No
7590-C0111,34,Month-to-month,Credit card,39.48,1296.52,DSL,No,Yes
7590-C0112,58,Two year,Credit card,35.92,2003.58,No,Yes,No
7590-C0113,61,Month-to-month,Mailed check,86.12,5238.56,No,Yes,Yes
7590-C0114,69,Month-to-month,Mailed check,71.21,5009.9,Fiber optic,No,Yes
7590-C0115,14,Two year,Mailed check,102.76,1459.57,No,No,No
7590-C0116,66,One year,Mailed check,44.25,2940.07,No,No,No
7590-C0117,71,Month-to-month,Bank transfer,94.0,6745.7,DSL,Yes,No
7590-C0118,8,Two year,Credit card,55.95,451.36,DSL,Yes,No
7590-C0119,60,One year,Credit card,102.32,5912.47,DSL,Yes,No
7590-C0120,36,Month-to-month,Mailed check,42.26,1590.38,DSL,Yes,No
7590-C0121,40,One year,Bank transfer,51.63,2003.11,No,Yes,No
7590-C0122,42,Month-to-month,Bank transfer,63.03,2548.18,Fiber optic,Yes,No
7590-C0123,52,One year,Electronic check,117.51,6067.35,No,Yes,No
7590-C0124,8,Month-to-month,Mailed check,50.54,401.3,Fiber optic,Yes,No
7590-C0125,71,Month-to-month,Bank transfer,91.42,6328.77,Fiber optic,Yes,No
7590-C0126,46,Two year,Mailed check,90.13,4308.87,DSL,Yes,No
7590-C0127,51,Month-to-month,Bank transfer,87.32,4487.51,DSL,No,Yes
7590-C0128,68,Month-to-month,Electronic check,21.65,1518.23,Fiber optic,No,Yes
7590-C0129,25,Two year,Electronic check,82.01,1974.34,No,Yes,No
7590-C0130,27,Month-to-month,Credit card,101.92,2867.66,Fiber optic,No,No
7590-C0131,47,One year,Electronic check,26.18,1233.74,Fiber optic,Yes,No
7590-C0132,53,One year,Bank transfer,36.58,1997.26,DSL,Yes,No
7590-C0133,68,Month-to-month,Credit card,58.83,4146.69,Fiber optic,No,No
7590-C0134,1,Month-to-month,Electronic check,97.33,94.54,Fiber optic,Yes,No
7590-C0135,53,Month-to-month,Credit card,116.48,6094.05,Fiber optic,No,Yes
7590-C0136,9,Month-to-month,Electronic check,23.86,208.65,Fiber optic,No,Yes
7590-C0137,44,Month-to-month,Electronic check,71.27,3256.37,DSL,No,Yes
7590-C0138,66,Month-to-month,Electronic check,105.14,6859.72,DSL,Yes,No
7590-C0139,1,One year,Electronic check,56.36,58.77,Fiber optic,No,No
7590-C0140,50,Two year,Credit card,90.16,4475.53,Fiber optic,No,No
7590-C0141,67,Two year,Credit card,72.0,4753.86,DSL,Yes,No
7590-C0142,64,Month-to-month,Mailed check,35.3,2340.58,DSL,No,No
7590-C0143,21,Month-to-month,Credit card,58.62,1203.48,No,Yes,Yes
7590-C0144,72,One year,Credit card,30.17,2118.57,DSL,Yes,No
7590-C0145,19,Month-to-month,Mailed check,54.69,1043.41,DSL,No,Yes
7590-C0146,56,One year,Credit card,105.84,5771.17,DSL,No,No
7590-C0147,24,Month-to-month,Credit card,45.95,1079.17,No,No,Yes
7590-C0148,66,Month-to-month,Mailed check,82.28,5256.4,DSL,Yes,No
7590-C0149,64,Month-to-month,Mailed check,92.58,5685.11,No,Yes,Yes
7590-C0150,35,One year,Electronic check,101.52,3462.52,DSL,Yes,Yes
7590-C0151,53,Month-to-month,Electronic check,38.6,2016.61,No,Yes,Yes
7590-C0152,17,Month-to-month,Bank transfer,111.77,1982.81,DSL,No,Yes
7590-C0153,39,One year,Mailed check,111.11,4310.75,No,No,No
7590-C0154,55,One year,Electronic check,78.82,4479.84,No,No,No
7590-C0155,8,Month-to-month,Electronic check,49.44,381.32,Fiber optic,Yes,No
7590-C0156,13,One year,Mailed check,26.52,332.34,DSL,Yes,No
7590-C0157,59,Month-to-month,Credit card,48.33,2901.57,Fiber optic,Yes,Yes
7590-C0158,30,Two year,Electronic check,34.04,987.83,DSL,Yes,No
7590-C0159,57,Month-to-month,Electronic check,49.48,2785.16,No,No,Yes
7590-C0160,69,Month-to-month,Credit card,85.69,6027.12,No,No,Yes
7590-C0161,60,Month-to-month,Credit card,87.5,5436.19,Fiber optic,Yes,Yes
7590-C0162,48,Two year,Electronic check,93.98,4389.11,Fiber optic,Yes,No
7590-C0163,32,Two year,Bank transfer,89.45,2880.98,No,No,No
7590-C0164,1,Month-to-month,Electronic check,109.53,110.61,Fiber optic,No,Yes
7590-C0165,2,Month-to-month,Mailed check,33.33,64.46,Fiber optic,Yes,No
7590-C0166,8,Month-to-month,Credit card,31.58,264.33,DSL,No,Yes
7590-C0167,45,One year,Bank transfer,25.19,1104.87,No,Yes,No
7590-C0168,65,Month-to-month,Credit card,109.63,7106.65,Fiber optic,Yes,No
7590-C0169,31,Month-to-month,Electronic check,46.71,1442.55,No,No,No
7590-C0170,15,Two year,Credit card,42.04,648.95,No,Yes,No
7590-C0171,58,Two year,Mailed check,23.97,1453.64,DSL,Yes,No
7590-C0172,46,Month-to-month,Credit card,48.06,2188.21,Fiber optic,Yes,No
7590-C0173,24,Two year,Mailed check,38.75,922.75,No,Yes,No
7590-C0174,49,One year,Bank transfer,52.99,2678.73,DSL,No,No
7590-C0175,55,Month-to-month,Credit card,34.4,1914.87,Fiber optic,Yes,No
7590-C0176,43,Month-to-month,Electronic check,31.89,1425.72,Fiber optic,Yes,No
7590-C0177,29,Month-to-month,Mailed check,109.51,3333.05,Fiber optic,Yes,Yes
7590-C0178,48,Month-to-month,Bank transfer,105.37,5154.62,Fiber optic,Yes,No
7590-C0179,55,Month-to-month,Mailed check,100.53,5674.19,Fiber optic,No,No
7590-C0180,57,Two year,Credit card,54.56,3258.03,No,No,No
7590-C0181,12,Month-to-month,Mailed check,27.19,330.45,DSL,No,No
7590-C0182,41,Month-to-month,Credit card,73.16,2940.66,DSL,Yes,No
7590-C0183,38,Month-to-month,Credit card,46.8,1725.66,Fiber optic,Yes,No
7590-C0184,19,One year,Electronic check,67.76,1308.88,Fiber optic,No,No
7590-C0185,12,Two year,Electronic check,104.06,1197.73,DSL,No,No
7590-C0186,41,Month-to-month,Electronic check,87.77,3524.19,Fiber optic,No,Yes
7590-C0187,28,Two year,Bank transfer,83.41,2251.03,No,No,Yes
7590-C0188,66,One year,Credit card,37.27,2436.65,No,No,No
7590-C0189,12,Two year,Electronic check,80.44,939.24,Fiber optic,No,No
7590-C0190,43,One year,Credit card,99.05,4171.09,DSL,Yes,No
7590-C0191,63,One year,Bank transfer,51.75,3136.61,No,No,No
7590-C0192,64,One year,Credit card,41.09,2661.31,Fiber optic,No,No
7590-C0193,27,Month-to-month,Electronic check,98.25,2711.99,DSL,No,Yes
7590-C0194,48,Month-to-month,Bank transfer,117.37,5495.95,No,No,No
7590-C0195,66,Month-to-month,Electronic check,25.98,1709.74,No,No,Yes
7590-C0196,66,Month-to-month,Bank transfer,28.96,1958.8,No,Yes,Yes
7590-C0197,23,Month-to-month,Electronic check,32.25,750.3,No,No,Yes
7590-C0198,40,Month-to-month,Mailed check,76.52,3130.15,DSL,Yes,No
7590-C0199,29,One year,Electronic check,60.48,1678.78,DSL,No,No
7590-C0200,16,One year,Credit card,93.6,1543.2,Fiber optic,No,No
7590-C0201,6,One year,Mailed check,95.08,595.49,Fiber optic,No,No
7590-C0202,10,Month-to-month,Mailed check,43.72,436.0,DSL,Yes,Yes
7590-C0203,37,Month-to-month,Mailed check,40.1,1421.54,No,No,Yes
7590-C0204,61,Two year,Credit card,92.74,5629.33,Fiber optic,No,No
7590-C0205,67,Month-to-month,Mailed check,52.18,3380.95,DSL,No,No
7590-C0206,58,Month-to-month,Mailed check,32.51,1843.89,No,Yes,Yes
7590-C0207,70,Month-to-month,Electronic check,70.74,4910.62,Fiber optic,No,Yes
7590-C0208,47,Two year,Electronic check,26.53,1236.92,No,Yes,No
7590-C0209,42,Month-to-month,Bank transfer,111.07,4655.52,Fiber optic,Yes,Yes
7590-C0210,13,Two year,Bank transfer,99.9,1335.65,No,No,No
7590-C0211,14,Two year,Electronic check,116.42,1653.38,DSL,Yes,No
7590-C0212,2,One year,Electronic check,68.31,133.56,Fiber optic,No,No
7590-C0213,51,Month-to-month,Electronic check,108.64,5332.33,Fiber optic,No,No
7590-C0214,60,Month-to-month,Credit card,69.56,4216.59,Fiber optic,Yes,Yes
7590-C0215,45,Month-to-month,Electronic check,36.01,1690.88,DSL,No,No
7590-C0216,10,One year,Bank transfer,107.46,1041.11,DSL,No,Yes
7590-C0217,35,Month-to-month,Bank transfer,31.89,1075.93,Fiber optic,Yes,No
7590-C0218,27,Month-to-month,Electronic check,84.64,2312.06,Fiber optic,No,No
7590-C0219,41,One year,Credit card,64.35,2672.46,No,No,No
7590-C0220,10,Month-to-month,Electronic check,108.82,1065.61,Fiber optic,No,No
7590-C0221,72,One year,Bank transfer,92.9,6617.37,DSL,No,No
7590-C0222,34,One year,Bank transfer,25.73,859.11,DSL,Yes,No
7590-C0223,9,Two year,Mailed check,24.97,223.18,Fiber optic,No,No
7590-C0224,19,One year,Credit card,74.53,,No,No,No
7590-C0225,44,Month-to-month,Electronic check,115.82,4929.2,DSL,No,No
7590-C0226,63,Month-to-month,Mailed check,41.29,2553.12,No,No,Yes
7590-C0227,20,Month-to-month,Mailed check,114.13,2355.77,No,Yes,Yes
7590-C0228,11,One year,Electronic check,21.06,230.68,No,No,No
7590-C0229,60,Month-to-month,Electronic check,86.37,5082.79,DSL,No,No
7590-C0230,64,Two year,Mailed check,28.64,1796.34,Fiber optic,Yes,No
7590-C0231,70,Two year,Electronic check,90.25,6177.26,No,Yes,No
7590-C0232,5,Month-to-month,Electronic check,86.52,434.88,Fiber optic,No,Yes
7590-C0233,59,Two year,Electronic check,85.96,5210.57,DSL,No,No
7590-C0234,21,Month-to-month,Bank transfer,108.36,2242.86,No,No,No
7590-C0235,15,Month-to-month,Credit card,63.34,985.85,Fiber optic,Yes,Yes
7590-C0236,29,Two year,Mailed check,79.87,2222.98,Fiber optic,Yes,No
7590-C0237,14,Month-to-month,Bank transfer,35.48,502.27,No,Yes,Yes
7590-C0238,27,Month-to-month,Mailed check,101.48,2837.85,No,No,Yes
7590-C0239,38,Two year,Credit card,99.18,3654.88,Fiber optic,No,No
7590-C0240,20,Month-to-month,Credit card,85.29,1690.92,DSL,No,Yes
7590-C0241,15,One year,Bank transfer,30.62,445.39,Fiber optic,Yes,No
7590-C0242,64,Two year,Credit card,110.71,6755.55,Fiber optic,No,No
7590-C0243,62,Month-to-month,Credit card,24.01,1547.48,DSL,Yes,Yes
7590-C0244,42,Month-to-month,Credit card,33.24,1448.69,Fiber optic,Yes,No
7590-C0245,16,Month-to-month,Electronic check,74.67,1162.93,Fiber optic,No,Yes
7590-C0246,32,Month-to-month,Mailed check,41.73,1371.68,Fiber optic,Yes,Yes
7590-C0247,65,Month-to-month,Bank transfer,80.6,5408.89,No,Yes,No
7590-C0248,23,Month-to-month,Bank transfer,75.17,1730.63,No,No,No
7590-C0249,3,Month-to-month,Bank transfer,49.54,143.64,DSL,No,No
7590-C0250,71,One year,Mailed check,24.99,1836.59,DSL,Yes,No
7590-C0251,13,Month-to-month,Electronic check,90.84,1198.67,No,Yes,Yes
7590-C0252,51,One year,Bank transfer,111.92,5948.48,No,Yes,No
7590-C0253,6,Month-to-month,Bank transfer,86.92,496.18,Fiber optic,Yes,Yes
7590-C0254,18,Two year,Credit card,68.4,1211.74,Fiber optic,No,No
7590-C0255,46,Month-to-month,Bank transfer,20.7,942.12,Fiber optic,No,No
7590-C0256,18,Month-to-month,Credit card,46.15,869.17,No,No,Yes
7590-C0257,7,One year,Mailed check,78.89,546.49,No,Yes,Yes
7590-C0258,59,One year,Mailed check,99.03,5793.15,Fiber optic,Yes,No
7590-C0259,1,Month-to-month,Credit card,90.34,87.07,No,No,Yes
7590-C0260,17,One year,Credit card,69.16,1207.28,DSL,Yes,No
7590-C0261,22,Month-to-month,Mailed check,76.31,1715.23,DSL,No,No
7590-C0262,22,One year,Bank transfer,53.56,1172.5,No,Yes,No
7590-C0263,14,One year,Electronic check,101.25,1405.84,DSL,Yes,No
7590-C0264,39,Two year,Electronic check,49.73,1948.6,Fiber optic,Yes,Yes
7590-C0265,12,One year,Mailed check,96.86,1157.45,No,No,No
7590-C0266,39,Two year,Mailed check,62.3,2538.0,DSL,No,Yes
7590-C0267,3,One year,Credit card,68.78,202.94,DSL,No,No
7590-C0268,2,Month-to-month,Mailed check,114.76,221.29,No,Yes,Yes
7590-C0269,2,Month-to-month,Electronic check,47.47,94.98,Fiber optic,No,Yes
7590-C0270,19,Month-to-month,Credit card,61.41,1138.24,Fiber optic,Yes,No
7590-C0271,21,Month-to-month,Credit card,46.35,925.44,Fiber optic,Yes,No
7590-C0272,32,Month-to-month,Credit card,64.45,2093.82,Fiber optic,Yes,Yes
7590-C0273,35,Month-to-month,Mailed check,102.78,3731.57,Fiber optic,No,No
7590-C0274,55,Month-to-month,Electronic check,88.75,4875.11,DSL,No,No
7590-C0275,8,Month-to-month,Credit card,43.44,348.9,No,Yes,Yes
7590-C0276,58,Two year,Bank transfer,74.7,4193.05,Fiber optic,No,No
7590-C0277,3,Two year,Electronic check,68.43,207.24,Fiber optic,No,Yes
7590-C0278,53,Month-to-month,Mailed check,45.4,2370.08,DSL,No,No
7590-C0279,53,Month-to-month,Credit card,90.86,5019.71,Fiber optic,Yes,Yes
7590-C0280,21,One year,Credit card,76.29,1590.33,No,Yes,No
7590-C0281,60,Month-to-month,Mailed check,44.2,2702.75,DSL,No,No
7590-C0282,56,Two year,Bank transfer,106.43,6123.63,Fiber optic,No,No
7590-C0283,46,Two year,Mailed check,91.81,4411.62,No,Yes,No
7590-C0284,44,Two year,Electronic check,114.25,5181.86,DSL,No,No
7590-C0285,1,Month-to-month,Mailed check,109.75,115.05,No,No,No
7590-C0286,62,Two year,Bank transfer,106.71,6541.56,DSL,Yes,No
7590-C0287,13,One year,Credit card,91.82,1183.49,Fiber optic,Yes,No
7590-C0288,27,One year,Bank transfer,82.27,2155.65,DSL,No,No
7590-C0289,6,Two year,Mailed check,93.7,559.53,No,No,No
7590-C0290,56,Two year,Bank transfer,82.71,4487.09,Fiber optic,Yes,No
7590-C0291,16,One year,Credit card,100.82,1656.54,Fiber optic,Yes,No
7590-C0292,2,Month-to-month,Mailed check,77.58,157.0,No,No,Yes
7590-C0293,21,Two year,Credit card,37.59,784.81,Fiber optic,Yes,Yes
7590-C0294,58,Month-to-month,Electronic check,36.36,2017.24,No,No,No
7590-C0295,19,One year,Bank transfer,55.62,1063.6,DSL,No,No
7590-C0296,37,One year,Mailed check,60.15,2217.25,No,Yes,No
7590-C0297,21,One year,Credit card,103.28,2065.77,Fiber optic,No,No
7590-C0298,42,Two year,Mailed check,47.24,1934.35,Fiber optic,No,No
7590-C0299,36,Month-to-month,Electronic check,97.55,3621.99,Fiber optic,No,Yes
7590-C0300,41,Month-to-month,Bank transfer,117.07,4628.12,DSL,No,No
7590-C0301,60,Month-to-month,Credit card,21.62,1360.57,DSL,Yes,No
7590-C0302,28,Two year,Bank transfer,56.37,1547.09,No,No,No
7590-C0303,42,Month-to-month,Mailed check,75.47,3028.6,No,Yes,No
7590-C0304,22,Month-to-month,Electronic check,76.54,1767.12,DSL,Yes,Yes
7590-C0305,17,Two year,Credit card,110.96,1797.18,No,No,No
7590-C0306,35,Month-to-month,Mailed check,106.15,3875.19,Fiber optic,Yes,No
7590-C0307,3,Two year,Mailed check,74.55,218.68,Fiber optic,No,No
7590-C0308,31,One year,Bank transfer,116.43,3777.96,Fiber optic,Yes,No
7590-C0309,52,Two year,Electronic check,81.14,4143.49,DSL,No,No
7590-C0310,25,One year,Electronic check,76.75,1962.47,DSL,Yes,No
7590-C0311,14,Month-to-month,Credit card,22.93,337.06,Fiber optic,Yes,Yes
7590-C0312,52,Month-to-month,Electronic check,112.05,6054.53,Fiber optic,Yes,No
7590-C0313,9,One year,Credit card,31.84,299.87,Fiber optic,No,Yes
7590-C0314,50,Month-to-month,Bank transfer,32.41,1573.25,No,No,Yes
7590-C0315,44,Month-to-month,Mailed check,73.02,3171.54,Fiber optic,Yes,No
7590-C0316,71,Month-to-month,Mailed check,110.56,7656.65,Fiber optic,Yes,Yes
7590-C0317,12,One year,Bank transfer,60.43,748.43,DSL,No,Yes
7590-C0318,62,Month-to-month,Mailed check,29.36,1851.59,No,Yes,No
7590-C0319,49,Month-to-month,Electronic check,86.38,4301.25,No,No,No
7590-C0320,40,Month-to-month,Mailed check,100.48,4192.04,DSL,No,Yes
7590-C0321,36,Month-to-month,Electronic check,51.89,1774.74,DSL,No,Yes
7590-C0322,56,Two year,Electronic check,100.09,5652.42,DSL,No,No
7590-C0323,21,Two year,Electronic check,105.71,2145.58,No,No,No
7590-C0324,59,Month-to-month,Electronic check,94.3,5714.77,No,Yes,No
7590-C0325,54,Two year,Mailed check,87.31,4861.14,Fiber optic,Yes,No
7590-C0326,19,Two year,Bank transfer,68.83,1274.54,No,No,No
7590-C0327,25,Month-to-month,Bank transfer,94.46,2443.57,No,Yes,No
7590-C0328,1,One year,Credit card,30.45,29.26,DSL,Yes,No
7590-C0329,71,Month-to-month,Mailed check,25.63,1907.53,DSL,No,No
7590-C0330,39,Month-to-month,Mailed check,33.33,1267.9,No,No,No
7590-C0331,16,Two year,Electronic check,106.99,1702.8,DSL,Yes,No
7590-C0332,17,Month-to-month,Credit card,49.04,841.4,DSL,No,No
7590-C0333,18,Month-to-month,Bank transfer,80.54,1429.15,DSL,Yes,No
7590-C0334,70,Month-to-month,Electronic check,102.82,7135.33,DSL,No,No
7590-C0335,64,One year,Credit card,23.64,1585.06,No,No,No
7590-C0336,10,Two year,Bank transfer,53.9,535.27,Fiber optic,No,No
7590-C0337,3,Month-to-month,Electronic check,64.89,186.24,No,Yes,Yes
7590-C0338,41,Month-to-month,Mailed check,55.07,2163.96,No,Yes,No
7590-C0339,6,One year,Mailed check,92.16,560.57,Fiber optic,Yes,No
7590-C0340,65,One year,Electronic check,113.54,7266.13,Fiber optic,Yes,No
7590-C0341,47,Month-to-month,Bank transfer,107.26,5069.82,No,No,No
7590-C0342,64,One year,Bank transfer,34.36,2269.05,DSL,Yes,No
7590-C0343,48,One year,Credit card,97.04,4568.7,Fiber optic,Yes,No
7590-C0344,66,One year,Electronic check,38.44,2436.89,No,No,No
7590-C0345,50,Two year,Credit card,24.89,1252.56,No,Yes,No
7590-C0346,17,Two year,Bank transfer,85.22,1519.3,No,Yes,No
7590-C0347,68,Month-to-month,Mailed check,95.6,6242.03,DSL,No,Yes
7590-C0348,24,Month-to-month,Mailed check,73.2,1802.92,No,No,No
7590-C0349,19,Month-to-month,Bank transfer,26.82,492.77,DSL,Yes,Yes
7590-C0350,34,Two year,Credit card,24.27,846.78,DSL,No,No
7590-C0351,39,Month-to-month,Electronic check,87.25,3323.42,DSL,No,No
7590-C0352,17,One year,Mailed check,76.65,1367.4,DSL,Yes,No
7590-C0353,62,Month-to-month,Credit card,43.71,2599.37,No,No,Yes
7590-C0354,8,Month-to-month,Bank transfer,30.45,237.78,DSL,No,No
7590-C0355,33,Two year,Mailed check,111.81,3695.13,DSL,Yes,No
